index,index,time,tem
533,533,2575.557892,50.9375
534,534,2580.31746,51.0
535,535,2585.03669,51.0625
536,536,2589.758131,51.125
537,537,2594.557301,51.1875
538,538,2599.533807,51.25
539,539,2604.597568,51.3125
540,540,2609.278189,51.3125
541,541,2614.077701,51.375
542,542,2618.797888,51.4375
543,543,2623.598003,51.4375
544,544,2628.479625,51.4375
545,545,2633.36006,51.5
546,546,2638.180174,51.5
547,547,2642.958976,51.5625
548,548,2647.598785,51.625
549,549,2652.320784,51.625
550,550,2656.959094,51.6875
551,551,2661.676995,51.75
552,552,2666.411454,51.8125
553,553,2671.197741,51.875
554,554,2675.999376,51.875
555,555,2680.80114,51.9375
556,556,2685.597414,52.0
557,557,2690.257617,52.0
558,558,2695.037852,52.0625
559,559,2700.051447,52.125
560,560,2704.797858,52.1875
561,561,2709.597239,52.1875
562,562,2714.155552,52.25
563,563,2718.897507,52.25
564,564,2723.601782,52.375
565,565,2729.204694,52.375
566,566,2733.999983,52.375
567,567,2738.805901,52.4375
568,568,2743.599975,52.5
569,569,2748.33931,52.5
570,570,2753.141658,52.5625
571,571,2757.842359,52.5625
572,572,2762.719436,52.625
573,573,2767.439662,52.6875
574,574,2772.260471,52.75
575,575,2777.039904,52.8125
576,576,2781.837944,52.875
577,577,2786.639024,52.875
578,578,2791.832522,52.9375
579,579,2796.477162,52.9375
580,580,2801.19767,53.0
581,581,2805.997932,53.0625
582,582,2810.797813,53.125
583,583,2815.598125,53.125
584,584,2821.277588,53.1875
585,585,2826.076868,53.25
586,586,2830.798004,53.25
587,587,2835.597883,53.3125
588,588,2840.397571,53.375
589,589,2845.278845,53.4375
590,590,2850.077508,53.4375
591,591,2855.157915,53.5
592,592,2859.918123,53.5
593,593,2864.559554,53.5625
594,594,2869.277332,53.625
595,595,2873.919706,53.6875
596,596,2878.719275,53.6875
597,597,2883.440688,53.75
598,598,2888.377108,53.8125
599,599,2895.870895,53.875
600,600,2901.597991,53.875
601,601,2906.586409,53.9375
602,602,2911.392802,54.0
603,603,2917.039476,54.0
604,604,2921.941329,54.0625
605,605,2926.73154,54.125
606,606,2931.518239,54.125
607,607,2936.31803,54.1875
608,608,2941.119725,54.25
609,609,2945.918134,54.25
610,610,2950.718022,54.3125
611,611,2955.51788,54.375
612,612,2961.200047,54.4375
613,613,2966.797013,54.5
614,614,2971.518609,54.5
615,615,2976.239711,54.5625
616,616,2980.957588,54.5625
617,617,2985.759061,54.625
618,618,2991.133997,54.6875
619,619,2996.078991,54.6875
620,620,3000.877449,54.75
621,621,3005.519996,54.8125
622,622,3010.277649,54.8125
623,623,3014.959267,54.875
624,624,3019.758238,54.875
625,625,3024.559246,54.9375
626,626,3877.085277,62.9375
627,627,3881.96099,62.9375
628,628,3886.760962,63.0625
629,629,3891.561066,63.1875
630,630,3896.35898,63.25
631,631,3901.354079,63.3125
632,632,3906.119443,63.375
633,633,3910.841341,63.4375
634,634,3915.561901,63.5
635,635,3920.360071,63.5
636,636,3925.240417,63.5625
637,637,3930.042085,63.625
638,638,3934.839869,63.625
639,639,3939.639109,63.6875
640,640,3944.359927,63.75
641,641,3949.160325,63.8125
642,642,3953.961547,63.8125
643,643,3958.840342,63.8125
644,644,3963.559815,63.875
645,645,3968.361468,63.875
646,646,3973.081961,63.875
647,647,3977.800761,63.9375
648,648,3982.601491,64.0
649,649,3987.401444,64.0625
650,650,3992.121546,64.125
651,651,3996.841517,64.125
652,652,4002.559829,64.1875
653,653,4007.359258,64.25
654,654,4012.199965,64.25
655,655,4016.920906,64.3125
656,656,4021.722782,64.375
657,657,4026.441598,64.375
658,658,4031.239817,64.4375
659,659,4036.039497,64.4375
660,660,4040.839525,64.5
661,661,4045.642071,64.5
662,662,4050.359182,64.5625
663,663,4055.079597,64.625
664,664,4059.799592,64.6875
665,665,4064.599453,64.6875
666,666,4069.159039,64.75
667,667,4073.879976,64.8125
668,668,4078.681532,64.8125
669,669,4083.401549,64.9375
670,670,4088.142059,64.9375
671,671,4092.84172,64.9375
672,672,4097.581521,65.0
673,673,4102.49899,65.0
674,674,4107.387608,65.0625
675,675,4112.153662000001,65.125
676,676,4116.920339,65.125
677,677,4121.638787,65.1875
678,678,4126.361551,65.25
679,679,4131.159897,65.25
680,680,4135.8793129999995,65.25
681,681,4140.600074,65.3125
682,682,4145.400029,65.375
683,683,4150.201338,65.4375
684,684,4154.91941,65.4375
685,685,4159.55947,65.5
686,686,4165.159812,65.5625
687,687,4169.879406,65.5625
688,688,4174.599842,65.5625
689,689,4179.401916,65.625
690,690,4184.119473000001,65.625
691,691,4188.920276,65.6875
692,692,4193.719333999999,65.6875
693,693,4198.441382,65.75
694,694,4203.513072,65.875
695,695,4208.318682,65.9375
696,696,4213.08126,66.0
697,697,4217.801212,66.0
698,698,4222.440606,66.0
699,699,4227.242335,66.0625
700,700,4231.960223,66.125
701,701,4236.679599,66.1875
702,702,4241.480504,66.1875
703,703,4246.19944,66.25
704,704,4250.859356999999,66.3125
705,705,4255.559359,66.375
706,706,4260.200059,66.375
707,707,4264.999484,66.4375
708,708,4269.719672,66.4375
709,709,4274.439375,66.4375
710,710,4279.10171,66.5
711,711,4283.801404,66.5
712,712,4288.873348,66.5625
713,713,4293.721033,66.625
714,714,4298.521527,66.6875
715,715,4303.322966,66.75
716,716,4308.1410209999995,66.8125
717,717,4312.921059,66.8125
718,718,4317.64091,66.8125
719,719,4322.460942,66.875
720,720,4327.243066,66.875
721,721,4332.041159,66.9375
722,722,4336.841469,66.9375
