name,time,tem
BK,2020-03-09T07:41:22.828642,22.0625
AUX,2020-03-09T07:41:23.745873,30.5
MT,2020-03-09T07:41:24.726492,27.9375
HLT,2020-03-09T07:41:25.706809,28.125
BK,2020-03-09T07:41:27.685435,22.0625
AUX,2020-03-09T07:41:28.592389,30.5
MT,2020-03-09T07:41:29.572762,28.0625
HLT,2020-03-09T07:41:30.513619,28.1875
BK,2020-03-09T07:41:32.476477,22.0625
AUX,2020-03-09T07:41:33.393148,30.5625
MT,2020-03-09T07:41:34.371831,28.0625
HLT,2020-03-09T07:41:35.313547,28.25
BK,2020-03-09T07:41:37.276299,22.0
AUX,2020-03-09T07:41:38.193081,30.625
MT,2020-03-09T07:41:39.154110,28.0
HLT,2020-03-09T07:41:40.112623,28.3125
BK,2020-03-09T07:41:42.078699,22.0625
AUX,2020-03-09T07:41:42.994068,30.6875
MT,2020-03-09T07:41:43.952599,28.0625
HLT,2020-03-09T07:41:44.913454,28.3125
BK,2020-03-09T07:41:46.876693,22.0625
AUX,2020-03-09T07:41:47.792437,30.75
MT,2020-03-09T07:41:48.751714,28.125
HLT,2020-03-09T07:41:49.634208,28.375
BK,2020-03-09T07:41:51.594985,22.0625
AUX,2020-03-09T07:41:52.513717,30.8125
MT,2020-03-09T07:41:53.492534,28.125
HLT,2020-03-09T07:41:54.473896,28.4375
BK,2020-03-09T07:41:56.395025,22.0625
AUX,2020-03-09T07:41:57.314215,30.875
MT,2020-03-09T07:41:58.272979,28.125
HLT,2020-03-09T07:41:59.232311,28.5
BK,2020-03-09T07:42:01.195150,22.0625
AUX,2020-03-09T07:42:02.114107,30.9375
MT,2020-03-09T07:42:03.073846,28.125
HLT,2020-03-09T07:42:04.034253,28.5
BK,2020-03-09T07:42:05.996642,22.0
AUX,2020-03-09T07:42:06.913988,30.9375
MT,2020-03-09T07:42:07.871481,28.1875
HLT,2020-03-09T07:42:08.772585,28.5625
BK,2020-03-09T07:42:10.714713,22.0
AUX,2020-03-09T07:42:11.634959,31.0
MT,2020-03-09T07:42:12.592625,28.25
HLT,2020-03-09T07:42:13.552930,28.625
BK,2020-03-09T07:42:15.515047,22.0
AUX,2020-03-09T07:42:16.433519,31.0
MT,2020-03-09T07:42:17.394157,28.3125
HLT,2020-03-09T07:42:18.372513,28.6875
BK,2020-03-09T07:42:20.315744,22.0
AUX,2020-03-09T07:42:21.233728,31.0625
MT,2020-03-09T07:42:22.192440,28.3125
HLT,2020-03-09T07:42:23.152090,28.625
BK,2020-03-09T07:42:25.114260,22.0
AUX,2020-03-09T07:42:26.106592,31.125
MT,2020-03-09T07:42:27.033361,28.375
HLT,2020-03-09T07:42:27.980581,28.75
BK,2020-03-09T07:42:29.942659,22.0
AUX,2020-03-09T07:42:30.832565,31.1875
MT,2020-03-09T07:42:31.792645,28.375
HLT,2020-03-09T07:42:32.757521,28.75
BK,2020-03-09T07:42:34.715928,22.0
AUX,2020-03-09T07:42:35.631536,31.25
MT,2020-03-09T07:42:36.513143,28.5
HLT,2020-03-09T07:42:37.491711,28.8125
BK,2020-03-09T07:42:39.435000,22.0625
AUX,2020-03-09T07:42:40.351727,31.3125
MT,2020-03-09T07:42:41.233314,28.5625
HLT,2020-03-09T07:42:42.192381,28.875
BK,2020-03-09T07:42:44.195190,22.0625
AUX,2020-03-09T07:42:45.153169,31.375
MT,2020-03-09T07:42:46.112975,28.625
HLT,2020-03-09T07:42:47.760523,28.875
BK,2020-03-09T07:42:50.100667,22.0
AUX,2020-03-09T07:42:51.028682,31.375
MT,2020-03-09T07:42:51.970375,28.6875
HLT,2020-03-09T07:42:52.952428,28.9375
BK,2020-03-09T07:42:54.876794,22.0
AUX,2020-03-09T07:42:55.793641,31.4375
MT,2020-03-09T07:42:56.753022,28.6875
HLT,2020-03-09T07:42:58.671889,29.0
BK,2020-03-09T07:43:00.555238,22.0625
AUX,2020-03-09T07:43:01.474191,31.5
MT,2020-03-09T07:43:02.432354,28.75
HLT,2020-03-09T07:43:03.432512,29.0625
BK,2020-03-09T07:43:05.354834,22.0
AUX,2020-03-09T07:43:06.273846,31.5625
MT,2020-03-09T07:43:07.232400,28.75
HLT,2020-03-09T07:43:08.193830,29.125
BK,2020-03-09T07:43:10.154618,22.0625
AUX,2020-03-09T07:43:11.073606,31.5625
MT,2020-03-09T07:43:12.032702,28.875
HLT,2020-03-09T07:43:13.012157,29.125
BK,2020-03-09T07:43:14.954580,22.0625
AUX,2020-03-09T07:43:15.874281,31.625
MT,2020-03-09T07:43:16.832923,28.9375
HLT,2020-03-09T07:43:17.792815,29.1875
BK,2020-03-09T07:43:19.754620,22.0625
AUX,2020-03-09T07:43:20.674783,31.6875
MT,2020-03-09T07:43:21.653556,29.0
HLT,2020-03-09T07:43:22.592665,29.1875
